firstname,surname,latitude,longitude
Amy,Kennedy,62.7375,7.1591
Alan,Tucker,45.56678,-71.99909
Robert,Simmons,-6.538,106.4032
Patrick,Wilson,41.9767,-8.4833
Patricia,Gray,45.32361,15.69861
Heather,Owens,41.20417,79.45806
Stephanie,West,53.59601,19.56849
Lisa,Kelly,40.9583,-7.9333
Eugene,Mason,17.2939,120.4449
Lisa,Cole,32.7699,-96.743
Steve,Peters,13.5232,122.5813
Arthur,Kennedy,53.6082,9.9694
Maria,Brooks,31.69227,-4.95256
Jessica,Wood,7.1,4.83333
Gloria,Hawkins,24.58917,115.41447
Albert,Mitchell,37.84783,68.83125
Melissa,Sanders,-7.2801,108.1944
Wanda,James,54.41083,100.48454
Harold,Palmer,20.6667,-97.3545
Mildred,Morris,33.33412,113.56956
Rose,Simpson,37.1702,49.3998
Daniel,Johnston,0.88283,-77.70103
Jonathan,Knight,41.5,-8.2278
Daniel,Olson,34.92357,36.48598
Peter,Peters,-7.1521,114.6143
Harry,Adams,9.86472,123.39639
Jimmy,Hill,6.08236,-75.33509
Linda,Williams,47.01479,34.91504
Tammy,Fowler,-28.35889,-49.29139
Kimberly,Greene,5.75,38.91667
Steve,Flores,50.49449,15.51503
Gerald,Gonzalez,29.45498,109.53017
Donna,Green,30.15559,105.61222
Ronald,Larson,-29.225,-51.34778
Marilyn,Jackson,61.55,29.5
Mark,Lewis,29.1471,91.6586
Michelle,Mcdonald,42.03083,21.44667
Julie,Anderson,12.54307,-87.16466
Charles,Carroll,26.95748,120.32277
Terry,Stone,13.95,20.55
Shawn,Holmes,49.67718,19.62321
Marie,Woods,38.6167,-9.1
Ryan,Rodriguez,30.66212,114.45623
Daniel,Holmes,52.87931,14.20249
Jennifer,Wilson,53.9,53.93333
Anne,Brooks,45.05028,18.75556
Jonathan,Wheeler,31.18248,35.69999
Albert,Willis,-8.0321,111.9576
Lisa,Hart,-9.9544,124.1255
Randy,Stone,56.24204,51.14425
Edward,Mills,48.8537,2.549
Mark,Gonzalez,23.15678,-81.24441
Alice,Woods,-5.37306,-79.60028
Melissa,Black,-6.2612,106.1203
Ryan,Kelley,54.83135,18.31301
Randy,Andrews,17.2386,-100.0458
Teresa,Hughes,31.15889,35.69278
Willie,Stevens,23.88601,113.65198
Matthew,Fox,36.05,140.16667
Joshua,Andrews,49.11928,16.60446
Aaron,Evans,44.23007,20.23819
Donna,Phillips,-6.6914,105.7176
Jesse,Flores,23.12658,107.09369
Susan,Dean,15.03333,-88.88333
Raymond,Crawford,41.6333,-8.8167
Jean,Mcdonald,12.98056,123.78917
Andrea,Kelley,24.68296,113.51465
Scott,Martin,25.60074,115.77796
Jennifer,Richards,49.20678,-122.91092
Ann,Mcdonald,13.94428,45.67074
James,Reynolds,-13.2,49.05
Karen,Hawkins,-5.6578,132.9709
Shirley,Harvey,51.84861,41.46056
Rose,Clark,49.71431,28.83385
James,Howard,52.06093,21.39107
Cheryl,Lopez,13.09185,-86.35384
Victor,Diaz,23.45069,114.00966
Norma,Robertson,26.57222,109.30944
Clarence,Brooks,-25.22435,25.67728
Andrea,Sanchez,0.87136,-77.64027
Willie,Reed,28.20707,114.96968
Michelle,Medina,54.1838,45.1749
Susan,Marshall,37.224,49.3125
Randy,Bowman,22.82898,106.32335
Judith,Lane,-5.38771,25.74885
Betty,Boyd,-26.34066,-60.43207
Melissa,Cunningham,45.57861,13.73611
Timothy,Andrews,-30.86088,-64.52515
Kimberly,Jackson,-8.3904,115.1112
Ruby,Medina,-29.53897,31.21439
Kelly,Berry,52.24404,19.62613
Jessica,Gray,19.2958,-101.9675
Earl,Reynolds,31.63407,109.22624
Larry,Hernandez,48.9601,2.8788
David,Diaz,-6.7216,111.1473
Stephen,Williamson,54.2,49.4
Terry,Watson,52.50588,19.83736
Matthew,Lee,45.025,42.90639
Willie,Mccoy,31.26834,113.81796
Elizabeth,Walker,31.46348,110.09846
Timothy,Lewis,15.15,-87.88333
Gary,Black,51.98486,42.26147
Carolyn,Gonzales,60.8863,15.1179
Lois,Lee,25.32678,113.92701
Denise,Garza,12.97844,7.95293
Angela,Young,18.1159,120.5235
Harold,Cooper,-7.6547,108.5043
Eugene,Olson,13.10042,-86.00226
Ann,Arnold,17.8872,-94.7475
Rebecca,Grant,-4.97503,23.44391
Ernest,Butler,-7.4188,107.1592
Tammy,Hudson,49.92106,19.2453
Gregory,Tucker,-7.021,108.0261
Jeremy,Richards,48.94877,99.53665
David,Sullivan,12.62937,-87.13105
Gloria,Williams,13.35,123.55
Ruby,Scott,34.66688,109.27436
Anna,Stewart,46.36313,30.64891
Brenda,Fernandez,59.1212,9.7096
Eugene,Hart,58.5371,15.0365
Jessica,Gilbert,35.46806,44.39222
Gregory,Palmer,6.6,38.41667
Ralph,Morales,33.18378,35.89158
Victor,Howell,-21.3393,55.4781
Sharon,Cox,51.64177,39.40863
Virginia,Castillo,30.79124,108.95254
Ernest,Duncan,-16.21667,-69.45
Marie,Gardner,-2.911,-79.81441
Katherine,Moore,50.05825,23.9726
Sara,Palmer,28.0125,111.30889
Emily,Jones,50.82969,19.28547
Lori,Montgomery,9.4028,-70.79762
Donald,Nichols,39.41611,117.63
Nancy,Howard,40.36166,119.88781
Anthony,Reynolds,19.37972,98.44644
Janet,Powell,37.95,23.7
Diana,Brown,42.16056,20.19194
Daniel,Boyd,6.6587,-72.73344
Jessica,Hall,21.47422,110.53786
Craig,Martin,9.52392,-75.58139
Sean,Tucker,53.26766,37.35689
Wanda,Wagner,38.95303,75.42783
John,Palmer,30.77959,120.71177
Richard,Ray,40.8667,-8.4875
Albert,Allen,62.38333,26.43333
Bonnie,Chavez,-1.04576,-80.65889
Benjamin,Rogers,9.26926,-2.9951
Sara,Cruz,-8.5311,114.3245
Ann,Ruiz,8.27417,124.72194
Harold,Gibson,-8.5943,115.0906
Samuel,Cooper,61.99595,-6.77154
Joe,Carr,59.8732,10.8107
Carol,Pierce,28.1319,109.57713
Jason,Chapman,29.49538,114.61938
Rebecca,Lawrence,-7.0545,108.7086
Nicole,Armstrong,9.90163,-84.10042
Mark,Wagner,-8.2098,111.6845
Robert,Russell,45.095,14.11972
Albert,Campbell,8.44972,124.29056
Ralph,Black,-1.4563,36.97826
Charles,Jenkins,,
Harold,Rogers,29.77415,106.3688
Jacqueline,Ward,47.6339,-122.3476
Robert,Bradley,-21.96092,-63.65167
Norma,West,32.50385,119.91647
Bonnie,Rodriguez,-6.799,111.731
Lisa,Hart,26.60853,37.92316
Walter,Martinez,-8.2689,116.4255
Andrea,Fisher,40.8722,-7.9583
Wanda,Rose,39.36781,26.17639
Clarence,Kim,26.53333,86.75
Gloria,King,-6.9776,112.4323
Laura,Gonzalez,23.64254,94.40478
Lisa,Adams,9.05,-11.73333
Linda,Chapman,11.5356,122.4666
Pamela,Thomas,-8.06667,111.91667
Matthew,Bell,35.33194,107.36111
Fred,Hall,24.8479,103.13447
Jonathan,Walker,30.99176,112.59033
Eugene,Lawson,59.1631,10.1607
Rebecca,Ortiz,31.9225,121.67972
Brandon,Hawkins,-3.63045,39.84992
Sandra,Mendoza,27.97083,48.73
Martin,Chapman,-7.168,108.3267
Adam,Diaz,51.7961,29.5004
Jason,Romero,41.70306,22.85778
Kathryn,Richardson,-10.0236,124.448
Lisa,Carroll,46.64688,127.50602
Marilyn,Ortiz,56.05944,24.40361
Todd,Peters,-23.02639,-45.55528
Antonio,Ramirez,34.4,133.08333
Russell,Hernandez,51.1595,7.1036
Cynthia,Cruz,43.8257,41.78605
Julie,Dunn,40.64278,19.65083
Craig,Collins,29,85.25
Steven,Fox,-8.1832,123.8088
Amy,Graham,30.52333,114.23793
Sara,Moore,35.54793,36.64356
Jennifer,Matthews,32.32615,118.9307
Johnny,Young,17.52268,121.77422
Linda,Coleman,7.76667,-80.28333
Frank,Alexander,26.12933,51.2009
Joe,Gonzalez,23.76798,107.9841
Donald,Perry,25.69845,115.59398
Deborah,Owens,49.60461,14.27742
Aaron,Wagner,-19.02112,30.89218
Jason,Morrison,12.57317,6.05971
Heather,Owens,36.10306,127.48889
Sarah,Ferguson,18.08988,-77.10759
Nancy,Bowman,-10.01667,-77.58333
Judy,Carr,34.21062,107.7136
Julie,Owens,-14.33056,-170.75278
Jesse,Gray,50.15595,18.77924
Lillian,Powell,20.18396,106.06121
Elizabeth,Rivera,29.70519,89.23567
Sean,Bennett,43.02116,46.83746
Rebecca,Rivera,11.48135,9.91903
Irene,Wood,50.35008,-113.76866
Sara,Rose,5.8245,-73.03408
Carl,Mitchell,25.86944,43.4973
Cheryl,Knight,-9.23917,-77.64639
Robin,Kelley,6.41667,2.88333
Steve,Kelly,-27.50518,-55.39497
Raymond,Mills,-27.03333,-62.71667
Marilyn,James,42.0778,-8.2833
Benjamin,Bennett,54.8689,43.80272
Judy,Gonzales,29.40868,107.20988
Ronald,Reyes,-3.5029,130.1105
Carlos,Harper,29.74572,121.49586
Sean,Olson,21.9981,-101.1593
Aaron,Peterson,5.26667,-59.15
Wanda,Hanson,29.32976,118.31464
Tammy,Edwards,40.1,-8.7833
Jose,Jenkins,-7.3051,108.2941
Juan,Garcia,47.4125,0.9827
David,Robertson,-15.65944,-74.09056
Lawrence,Medina,46.3231,-0.4588
Irene,Gordon,11.5071,10.7459
Sean,Cooper,22.15247,-80.20354
Beverly,Carpenter,20.6667,-97.3545
Norma,Mendoza,-20.53861,-47.40083
Jerry,Flores,6.82278,125.38694
Pamela,Cruz,42.04361,127.10722
Sarah,Welch,-10.6184,121.5991
Johnny,Harper,41.5567,-8.32
Janet,Bishop,29.46301,118.47292
Albert,Stewart,28.91925,110.89199
Deborah,Lawrence,29.89242,112.42828
Susan,Meyer,48.27077,26.12624
Jessica,Reynolds,31.22319,118.22448
Nicole,King,49.18333,24.75
Virginia,Peters,-6.22625,106.0253
Sarah,Taylor,-11.30417,-41.85583
Teresa,Ruiz,50.3356,18.14332
Jennifer,Rose,53.94234,37.15744
Thomas,Mendoza,46.75468,-71.69566
Elizabeth,Bailey,50.02633,22.3316
Christine,Gomez,-27.31667,-61.28333
Christopher,Gilbert,16.1394,-97.0494
Christopher,Hicks,24.3883,102.55197
Albert,Brown,43.93778,42.51167
Paula,Flores,31.89667,120.21
Paul,Warren,25.59503,119.01012
Marilyn,Martin,-7.0764,112.4789
Heather,Lawson,-33.8678,151.2073
Juan,Wagner,39.1333,-8.9
Brandon,Snyder,-7.024,108.5918
Lillian,Tucker,42.64987,27.64838
Judy,Lawson,39.07472,117.30056
Carlos,Phillips,-8.559,122.5065
Karen,Long,30.01283,115.71689
Laura,Stone,37.95,58.38333
Jean,Watkins,55.05,24.95
Anna,Lane,-26.06927,30.11489
Benjamin,Reid,40.1667,-8.4833
Eric,Wheeler,5.79464,7.03495
Virginia,Alexander,16.9909,120.7359
Robert,Gomez,46.62282,127.57244
Stephen,Perez,29.26674,109.84606
Anne,Marshall,21.6,111.43333
Willie,Wagner,59.1677,18.1448
Andrew,Phillips,15.99797,103.48789
Jimmy,Fisher,-18.96889,-49.465
Doris,Baker,35.48199,137.02166
Gloria,Baker,46.5599,39.6321
Debra,Garza,16.959,120.7469
Jeremy,Harvey,55.6759,12.5655
Jerry,Howell,14.91667,-91.43333
Fred,Martinez,14.95,-89.96667
Jennifer,Watkins,45.61667,63.31667
Irene,Carr,-6.9291,112.1117
Gerald,Robertson,23.81777,116.54121
Betty,Willis,34.88333,132.08333
Emily,Wagner,12.75147,7.24472
Christine,Stone,-10.0129,120.0453
Clarence,Gray,49.58757,21.95292
Sandra,Nichols,19.23248,108.93873
Fred,Reynolds,-7.068,108.8647
Phillip,Carr,14.13056,120.83472
Tina,Lewis,13.62083,-87.6525
Joshua,Myers,14.41667,-16.7
Christopher,Payne,-22.21389,-49.94583
Jonathan,Baker,34.36556,107.63706
Joan,Kim,-7.3102,108.3066
Russell,Warren,13.7726,121.0259
Kathryn,Alexander,7.85,36.65
Diana,Gibson,38.82,-77.0589
Philip,Morgan,35.73691,136.95852
Russell,Chavez,33.22375,132.56001
Judith,Jordan,41.2667,-8.4694
Paul,Sanchez,22.32528,110.25556
Steven,Dean,39.15064,20.73636
Clarence,Spencer,-3.24267,116.22514
Sandra,Weaver,-8.1019,112.4981
Susan,Armstrong,35.32528,139.89111
Rose,Reynolds,52.4603,4.6105
Jimmy,Stewart,45.21598,21.17527
Gerald,Hunt,31.95126,35.81979
Raymond,Johnson,17.2386,-100.0458
Margaret,George,30.49776,112.90237
Carlos,Lewis,29.24279,107.87723
Sandra,Sanders,10.32381,-84.42714
Carl,Ford,54.41056,22.01167
Louis,Welch,30.14328,120.35594
Maria,Gonzalez,9.18333,-81.9
Kevin,Rivera,40.66194,68.17222
Michelle,Wagner,19.4314,-99.4913
Anne,Sullivan,40.84583,20.65722
Jennifer,Baker,31.54167,116.5
Bonnie,Martinez,5.6658,-0.16308
Anne,Marshall,10.68573,43.94397
Robert,Wells,44.2179,40.8487
Jesse,Lynch,49.99273,88.67598
George,Harrison,13.62679,-85.8254
Kelly,Medina,-18.38083,-44.45639
Elizabeth,Morrison,-4.97139,-39.01528
Wanda,Torres,-7.0525,112.3901
Gary,Austin,57.7293,56.172
Douglas,Medina,49.75603,15.48486
Lillian,Campbell,12.98056,123.78917
Wanda,Carroll,-6.718,111.3248
Teresa,Banks,15.47007,43.54481
Donna,Lawson,39.40278,21.89472
Jose,Daniels,45.3168,-75.0826
Keith,Griffin,24.67964,102.71159
Frances,Fuller,-40.91667,175.01667
Ashley,Cole,15.16222,120.5675
Christina,Baker,46.5,-1.7833
Stephanie,Ferguson,22.7439,109.87428
Robin,Jackson,-14.42139,-72.91194
Victor,King,-3.73235,104.66759
Peter,Richards,-7.13386,113.51997
Sara,Gonzalez,24.50178,113.68078
Teresa,Taylor,41.77181,124.62021
Cynthia,Martin,49.48639,29.26361
Stephanie,Larson,24.80817,68.60448
Catherine,Kelley,49.91678,-109.48481
Scott,Stewart,34.0606,-118.3027
Joseph,Reid,-44.26667,171.13333
Ruby,Fox,26.00188,113.25379
Walter,Banks,-5.89624,22.41659
Victor,Burns,48.31667,95.11667
Mary,Moreno,53.31946,121.43445
Eugene,Bishop,38.05,21.35
James,Wood,33.89284,108.01043
Marie,Oliver,32.27209,-7.20095
Shirley,Green,44.5125,41.4392
Victor,Graham,-8.1454,113.1829
Steven,Moreno,45.54,17.88472
Kathleen,Green,43.2928,5.5707
Lillian,Bishop,-8.7136,120.3877
Karen,Hunt,38.38917,69.32272
Jose,Spencer,4.53282,-76.10318
Heather,Berry,34.64186,109.85047
Frank,Black,31.56887,120.28857
Patricia,Snyder,13.66667,121.11667
Carl,Vasquez,39.5387,-119.8225
Anthony,Moore,36.04043,107.37264
Dennis,Robertson,4.04827,9.70428
Stephanie,Ellis,48.90469,16.81605
Rebecca,Carter,56.93333,49.15361
Cheryl,Ruiz,47.7656,-2.1322
Amanda,Mills,59.30694,24.83778
Evelyn,Payne,-8.3852,116.5447
Brenda,Mcdonald,-6.5302,106.3898
Randy,Williamson,13.44741,144.75902
Joyce,Hunter,27.70806,110.14194
Paula,Henry,26.17361,50.54778
Antonio,Carr,38.17979,107.47506
Anthony,Nguyen,29.63292,108.32825
Philip,Hansen,14.91667,-87.26667
James,Howell,8.88333,-11.16667
Randy,Hudson,40.785,20.70611
Debra,Graham,31.24025,119.30074
Julie,Arnold,13.9877,44.2749
Todd,Tucker,-8.2094,114.298
Barbara,Hudson,20.98962,106.5551
Rose,Bell,43.23972,45.50417
Eric,Fowler,39.52773,112.08186
Ronald,Lawson,45.29508,130.7006
Scott,Martin,-21.0225,-48.03722
Rose,Jackson,-1.5763,30.0675
Phillip,Berry,49.62056,6.07333
Ernest,Burns,15.90167,120.58833
George,Johnston,6.16255,125.08392
Keith,Fisher,29.75136,112.3307
Alan,Armstrong,44.36548,20.95885
Harold,Watkins,-7.2417,107.0718
Gerald,Allen,48.4,2.7
Justin,Oliver,48.96242,31.52696
Lillian,Ortiz,32.05062,112.07423
Marilyn,Payne,13.69276,102.50128
Ann,Harvey,26.5844,111.859
Clarence,Dunn,24.1008,116.87549
Roger,Palmer,37.61667,21.63333
Carlos,Lee,-27.94389,-52.92306
Jesse,Nelson,50.29078,36.94108
Eric,Howell,12.71667,30.65
Paula,Taylor,50.23737,15.63276
Kelly,Reid,11.1724,123.0197
William,Gonzales,33.63333,130.8
Johnny,Hicks,32.51103,118.558
Sara,Reid,13.0357,121.48842
Diana,Payne,55.61113,40.65186
Antonio,Garrett,31.47085,109.5399
Kathleen,Gutierrez,53.93366,18.32262
Ruby,Stanley,1.35797,172.92105
Philip,Daniels,40.2966,-7.8668
Virginia,Sullivan,31.76683,121.21462
Phyllis,Lewis,58.1972,15.0538
Kenneth,Chapman,53.09855,34.06728
Debra,Washington,43.33333,68.25
Jimmy,Nichols,29.29842,80.58059
Jean,Lawrence,43.46802,132.46674
Ronald,Harris,44.41113,84.30713
Timothy,Wallace,-7.6128,107.67446
Ralph,Kim,38.5132,-8.9953
Andrea,Shaw,47.3199,127.1673
Stephanie,Taylor,50.2207,12.34669
Anna,Marshall,53.8967,16.83543
Walter,Chavez,51.9,-8.95
Randy,Johnson,-22.53611,-55.72556
Jeremy,Tucker,55.9134,13.1076
Theresa,Coleman,30.72028,112.36983
Alan,Grant,49.98501,19.32615
Rebecca,Matthews,51.13466,21.0571
Annie,Miller,31.99563,119.56464
Russell,Johnson,-8.244,123.7805
Thomas,Green,45.70688,14.61674
Gloria,Coleman,32.85355,68.44972
Jennifer,Moreno,18.61604,98.77292
Peter,Bradley,18.13683,-77.03171
Gerald,Moreno,34.94282,-2.7329
Ernest,Hart,21.56667,110.54756
Kenneth,Wright,51.6544,84.3197
Frank,Lewis,-2.3715,113.0025
Edward,Lawson,12.1483,123.5909
Diana,Foster,11.1724,123.0197
Martin,Elliott,-33.5165,-56.89957
Christopher,Bennett,41.25,-8.3556
Eugene,Bennett,37.79872,126.408
Anne,Ruiz,25.41615,115.79217
Phillip,Kim,18.08124,-88.56328
Anna,Bryant,51.72134,21.96493
Kathy,Young,52.26469,18.42407
Jeremy,Dunn,43.56667,69.75
Kelly,Bennett,38.51437,68.23327
Norma,Evans,-4.97503,23.44391
Lillian,Wallace,38.1321,-82.4183
Joe,Howell,-6.9876,112.3417
Billy,Sanders,28.22011,116.42362
Janice,Rodriguez,29.68791,120.085
Angela,Mendoza,53.0635,26.6321
Dennis,Perkins,-8.1697,113.5505
Jose,Porter,29.13391,118.88393
Louise,Jordan,51.2055,6.7884
Cynthia,Hanson,29.74357,103.56679
Roy,Reid,-8.1578,111.8044
Lois,King,39.94856,112.34148
Kelly,Hawkins,56.06667,21.56667
Norma,Stephens,29.07694,48.08389
Terry,Bradley,39.9274,-104.9548
Bruce,Baker,55.13472,40.17673
Jose,Dean,5.4179,100.3296
Eric,Walker,9.50802,105.25747
Judith,Day,37.269,-7.9786
Terry,Ramirez,22.71873,-12.45205
Brandon,Ramirez,32.99233,36.06018
Frances,Morales,15.2897,120.0648
Eric,Peters,41.14556,20.24
Judy,Jacobs,33.783,-118.0256
Eugene,Hall,32.1533,35.04698
Denise,Murray,47.913,1.977
Shirley,Reyes,13.39028,43.96833
Karen,Carr,67.95,23.7
Stephanie,Porter,23.18159,113.58472
Jesse,Dean,10.71667,6.56667
Philip,Vasquez,24.50942,115.08686
Louise,Campbell,-20.75389,-42.88194
Ryan,Barnes,35.82255,139.83905
Virginia,Ford,30.82394,108.30224
Denise,Harvey,33.04459,119.983
Marie,Lawrence,46.85,-0.4833
Lillian,Fuller,26.6654,-80.0929
Amy,Harris,60.3576,5.2938
Amy,Vasquez,23.38694,113.82639
Brandon,Mendoza,42.73547,47.1378
Samuel,Foster,55.5441,42.1968
Samuel,Ramirez,53.08382,70.31379
Cynthia,Sullivan,46.51872,86.00214
Bruce,Reynolds,30.43457,120.92306
Timothy,Ortiz,13.73147,100.51414
Howard,Owens,48.2345,16.3741
Karen,Peters,50.21415,28.40395
Beverly,Kelly,29.75242,116.42967
Mark,Hill,27.18772,119.45095
Michael,Montgomery,29.87188,110.54848
Janice,Allen,43.4647,-3.8044
George,Mcdonald,50.13243,15.91116
Amy,Webb,46.6667,-1.4333
Jane,Gutierrez,38.55632,69.01354
Marilyn,Palmer,50.6892,32.32919
Amanda,Dunn,-1.87758,105.67662
Lawrence,Cox,-13.44083,-49.14861
Jonathan,Stephens,40.68785,22.84582
Russell,Stanley,6.34633,-75.50888
Charles,Gibson,40.70583,20.69972
Jane,Berry,-23.50167,-47.45806
Ruby,Stephens,33.16635,105.31344
William,Lawson,53.81111,60.65333
Patrick,Price,27.7694,115.37857
Jose,Johnson,52.25443,21.03472
Nancy,Cole,-10.4611,121.8698
Steve,Black,42.14167,21.69639
Sean,Watkins,36.65,140.15
Jose,Owens,-7.1616,108.7433
Christopher,Kelly,29.79313,107.03715
Andrea,Rice,32.08326,112.16667
Elizabeth,Wright,7.676,123.0023
Terry,Jordan,44.1234,40.8107
Julia,Larson,-8.4675,117.2304
Lori,Simpson,-22.45667,-47.53028
Carlos,Sanchez,51.5,3.6139
Joan,Castillo,24.65599,68.83841
Catherine,Tucker,-6.68333,-76.61667
Raymond,Gutierrez,29.81127,107.92447
Brian,Elliott,59.3267,14.5239
Clarence,Webb,43.4599,-116.244
Cheryl,Carroll,-6.66028,-69.87361
Thomas,Bennett,16.01793,-16.48962
Jacqueline,White,45.04816,20.08165
Clarence,Pierce,32.01615,119.84941
Rose,Perkins,13.19682,108.69042
Paula,Patterson,48.04927,33.87462
Karen,Evans,50.75427,18.60835
Bonnie,Berry,0.1866,30.45393
Rebecca,Diaz,24.88244,118.70869
Louise,George,-11.70216,43.25506
Maria,Alvarez,14.486,121.2289
Bonnie,Morrison,55.98553,40.01111
Andrea,Castillo,36.48031,115.4351
Frances,Richards,38.62639,103.08833
Earl,Harris,-8.16225,112.73821
Todd,Henry,21.75722,-79.24306
Tammy,Hudson,14.0453,124.1694
Lori,King,45.37389,18.70583
Anne,Andrews,55.0634,59.9002
Cynthia,James,15.06667,-88.61667
Sarah,Simpson,14.54248,49.12424
Wanda,Coleman,-13.94528,-72.17139
Jimmy,Phillips,42.16297,47.63068
Harry,Castillo,15.8535,-92.4729
Jessica,Ray,49.40789,129.51376
Arthur,Welch,53.3448,83.9749
Alan,Fowler,-14.2825,-170.69
Karen,Cole,20.52686,109.89556
Jane,Alvarez,63.86067,23.45289
Kathleen,Dixon,30.86667,114.8
Earl,Armstrong,29.65628,121.4064
